Localização;Beira Leito?;Nº do Carrinho;Cadeado;Andar;Prédio;Usuário conectado;Hostname;Patrimônio;IP;Serial Number CPU;Nome de SO;Os Release;Fabricante;Modelo;Tipo de chassi;Monitor 1;Modelo 1;Patrimônio 1;Monitor 2;Modelo 2;Patrimônio 2;Monitor 3;Modelo 3;Patrimônio 3;Webcam;Headset;DATA;Última atualização por
Relacionamento Médico;;;;1;Principal;ACSC\andrea.dittrich;HSI2611D158857;158857;10.30.25.233;6WVTRP2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;OptiPlex 3050;desktop;DELL;P2222H;219202;Dell;P2222Ht;219165;;;;;;04/07/2025;Guilherme Flores
Residência Médica;;;;3;Lavanderia;ACSC\taiany.freitas;HSI2655N219303;219303;10.30.27.215;1J16K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;Latitude 3440;laptop;Dell;P2222HS;189713;;;;;;;Não;Sim;20/08/2025;Guilherme Flores
Residência Médica - Coordenação;;;;3;Lavanderia;ACSC\rosana.pitz;HSI2623N189538;189538;10.30.53.210;HTM53Y3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;Latitude 3420;laptop;Dell;E2222HS;197026;;;;;;;Não;Não;21/08/2025;Guilherme Flores
Residentes;;;;2;Lavanderia;ACSC\m036996;HSI2655D196844;196844;10.30.27.189;7D83LQ3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3090;desktop;Dell;E2222HS;196869;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Residentes;;;;2;Lavanderia;ACSC\m065662;HSI2655D183999;183999;10.30.53.131;7GNNHQ3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3090;desktop;Dell;P2222HS;296868;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Residentes;;;;2;Lavanderia;ACSC\m096625;HSI2655D196834;196834;10.30.27.188;8D83LQ3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3090;desktop;Dell;E2222HS;196873;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Residentes;;;;2;Lavanderia;ACSC\m013260;HSI2655D158560;158560;10.30.24.198;FMPTHK2;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex 5050;desktop;Dell;P2415Q;158542;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Residentes - Sala Projetor;;;;1;Lavanderia;ACSC\M073434;HSI2655D219279;219279;10.30.24.129;7C66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2016;158338;;;;;;;Não;Não;16/07/2025;Guilherme Flores
Residentes (Máquina de Crise);;;;2;Lavanderia;ACSC\m084606;HSI2655D196832;196832;10.30.27.187;8F83LQ3;Microsoft Windows 10 Pro x64;21H2;Dell Inc.;OptiPlex 3090;desktop;Dell;E2222HS;196866;;;;;;;Não;Não;20/08/2025;Guilherme Flores
Residentes Sala 117 - Cardio;;;;1;Emergência;ACSC\m093604;HSI2655N189698;189698;10.30.54.68;C4QS0L2;Microsoft Windows 10 Pro x64;22H2;Dell Inc.;Latitude 5480;laptop;;;;;;;;;;Não;Não;26/08/2025;Guilherme Flores
SAC;;;;0;Principal;ACSC\tania.prato;HSI2639D189605;189605;10.30.24.159;6GX53Y3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2016;158354;;;;;;;Não;Sim;02/10/2025;Guilherme Flores
SAC;;;;0;Principal;ACSC\VC058638;HSI2639D188814;188814;10.30.24.128;9266YY3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2016;158356;;;;;;;Sim;Sim;23/09/2025;Guilherme Flores
SAC;;;;0;Principal;ACSC\KC051192;HSI2639D189576;189576;10.30.24.224;6JX53Y3;Microsoft Windows 11 Pro x64;24H2;Dell Inc.;OptiPlex 3000;desktop;Dell;P2018H;182844;;;;;;;Não;Sim;26/09/2025;Guilherme Flores
Sala Administrativa - Elevador de Pacientes;;;;5;Principal;ACSC\lorraina.martins;HSI2686D219292;219292;10.30.24.196;3D66K34;Microsoft Windows 11 Pro x64;23H2;Dell Inc.;OptiPlex SFF 7010;desktop;Dell;P2016;158889;Dell;P2018H;182885;;;;Sim;Sim;11/09/2025;Guilherme Flores
Sala Administrativa - Frente ao Elevador;;;;4;Principal;ACSC\bianca.henkels;HSI2632D158865;158865;10.30.25.248;6WTXRP2;Microsoft Windows 11 Pro x64;21H2;Dell Inc.;OptiPlex 3050;desktop;Dell;P2016;158887;Dell;P2425H;219194;;;;Sim;Sim;12/10/2025;Rafael Muller
